Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
high-school,LGL,23, Private Employee,16,One of Single,4720,US,30,Female,White,New York,13000,9.472704636,4106,8.320204598
high-school,LGL,58, Private Employee,16,Married,5860,US,40,Female,White,Ohio,67500,11.11988288,1224,7.109879463
Master's degree,LGL,45,Government Employee,22,Divorced,4600,US,25,Female,White,Illinois,15000,9.61580548,3962,8.284504227
Bachelor's degree,LGL,45,Government Employee,21,Married,3802,US,60,Male,non White,Texas,45000,10.71441777,2100,7.649692624
Professional degree,LGL,50,Self-Employed,23,Married,4920,non US,40,Male,White,Florida,45000,10.71441777,2100,7.649692624
post-high-school,LGL,64,Government Employee,19,Married,5740,US,40,Female,White,Virginia,36600,10.50780352,2616,7.869401713
post-high-school,CMM,20, Private Employee,19,One of Single,1050,US,15,Female,White,Georgia,10300,9.239899174,4265,8.35819746
high-school,LGL,48, Private Employee,16,Married,4230,US,25,Female,non White,Texas,4500,8.411832676,4643,8.443115988
Master's degree,BUS,49, Private Employee,22,Married,630,non US,40,Female,non White,California,53000,10.87804719,1697,7.436617265
Master's degree,LGL,34, Private Employee,22,One of Single,5110,US,40,Female,non White,Florida,23100,10.0475879,3494,8.158802491
Bachelor's degree,LGL,50, Private Employee,21,Married,5150,US,40,Male,White,Washington,110000,11.60823564,499,6.212606096
no diploma,LGL,23, Private Employee,12,Married,5610,US,30,Female,White,North Carolina,2000,7.60090246,4811,8.478660242
Bachelor's degree,LGL,36,Government Employee,21,Married,5740,US,40,Female,White,Georgia,12000,9.392661929,4149,8.33062262
Master's degree,CMS,60, Private Employee,22,Married,2014,US,40,Female,non White,Georgia,43600,10.68281243,2209,7.700295203
Bachelor's degree,LGL,60, Private Employee,21,Divorced,3255,US,40,Female,White,Louisiana,52000,10.858999,1718,7.448916103
high-school,LGL,22, Private Employee,16,One of Single,8740,US,40,Male,non White,California,18000,9.798127037,3810,8.245384468
no diploma,LGL,18, Private Employee,14,One of Single,4760,US,15,Female,White,Illinois,7900,8.974618038,4444,8.399310151
high-school,LGL,40, Private Employee,16,One of Single,5740,US,40,Female,White,Texas,25000,10.1266311,3296,8.100464891
high-school,LGL,56, Private Employee,16,Married,4000,non US,40,Male,non White,Nevada,120000,11.69524702,415,6.02827852
high-school,LGL,59,Government Employee,16,Married,4220,US,40,Male,White,Illinois,18630,9.832528464,3795,8.24143969
high-school,LGL,74, Private Employee,16,Married,7340,US,35,Male,White,Pennsylvania,32000,10.37349118,2855,7.956827122
post-high-school,LGL,23, Private Employee,19,One of Single,4522,US,15,Female,White,Connecticut,6000,8.699514748,4511,8.414274137
post-high-school,LGL,20,Government Employee,19,One of Single,2910,US,20,Female,White,New York,10800,9.287301413,4251,8.354909528
Associate's degree,LGL,23, Private Employee,20,One of Single,3424,US,40,Female,White,Pennsylvania,29000,10.27505111,3086,8.034631033
Master's degree,MGR,35, Private Employee,22,Married,420,US,45,Male,White,West Virginia,93000,11.44035477,720,6.579251212
post-high-school,LGL,20, Private Employee,19,One of Single,2825,US,30,Male,White,Ohio,400,5.991464547,4976,8.512381634
high-school,LGL,35, Private Employee,16,Married,9142,US,40,Male,White,Wisconsin,30000,10.30895266,2949,7.989221409
high-school,LGL,26, Private Employee,16,One of Single,4230,US,40,Male,non White,Puerto Rico,5200,8.556413905,4579,8.429235913
high-school,LGL,42, Private Employee,17,One of Single,8140,US,40,Female,White,Indiana,27000,10.20359214,3189,8.067462667
post-high-school,LGL,66,Self-Employed,19,Widowed,4700,non US,40,Female,White,Florida,34500,10.4487146,2784,7.931644021
no diploma,LGL,63,Government Employee,14,Married,6740,US,40,Male,non White,Mississippi,27500,10.22194128,3180,8.064636476
high-school,LGL,19,Government Employee,16,Married,7000,US,45,Male,White,Wyoming,24000,10.08580911,3408,8.133880888
Bachelor's degree,LGL,31,Self-Employed,21,One of Single,4920,US,80,Male,White,North Carolina,43000,10.66895539,2221,7.705712824
Doctorate degree,LGL,39,Government Employee,24,Married,2310,US,40,Male,non White,South Carolina,60000,11.00209984,1409,7.250635512
Bachelor's degree,LGL,35, Private Employee,21,One of Single,5860,US,30,Female,White,New Jersey,25000,10.1266311,3296,8.100464891
high-school,CMM,43, Private Employee,16,One of Single,1108,US,40,Male,White,Illinois,30000,10.30895266,2949,7.989221409
high-school,LGL,30, Private Employee,16,Divorced,4720,US,15,Female,White,Illinois,4000,8.29404964,4666,8.448057453
Associate's degree,MGR,39, Private Employee,20,Married,20,US,40,Male,White,Louisiana,50000,10.81977828,1785,7.487173694
Bachelor's degree,LGL,29, Private Employee,21,One of Single,2825,US,45,Female,White,New York,80000,11.28978191,893,6.794586581
post-high-school,LGL,62, Private Employee,19,Divorced,9620,US,25,Male,White,Washington,14100,9.553930076,4062,8.309430742
no diploma,LGL,37, Private Employee,1,Married,5400,US,40,Female,White,Florida,30000,10.30895266,2949,7.989221409
Master's degree,LGL,34,Government Employee,22,One of Single,2310,US,50,Male,White,California,47700,10.77268668,2010,7.605890001
high-school,LGL,73,Self-Employed,16,One of Single,4700,US,65,Female,White,Massachusetts,2000,7.60090246,4811,8.478660242
post-high-school,LGL,21,Government Employee,18,One of Single,4020,non US,40,Male,non White,Iowa,12000,9.392661929,4149,8.33062262
Master's degree,LGL,53,Government Employee,22,Divorced,3870,US,40,Male,White,Texas,120000,11.69524702,415,6.02827852
Bachelor's degree,LGL,34, Private Employee,21,Married,4110,US,40,Male,White,Illinois,50000,10.81977828,1785,7.487173694
post-high-school,LGL,30, Private Employee,18,One of Single,7140,US,40,Male,White,Washington,29400,10.28874995,3076,8.031385331
high-school,LGL,24, Private Employee,16,One of Single,9620,US,33,Male,non White,California,19800,9.893437217,3742,8.227375507
post-high-school,LGL,73, Private Employee,19,Married,5860,US,40,Female,White,Oregon,40700,10.61398337,2337,7.756623335
Master's degree,LGL,47, Private Employee,22,Married,4710,non US,40,Female,White,California,161000,11.98915964,248,5.513428746
Associate's degree,LGL,38, Private Employee,20,Married,5240,US,35,Female,White,Michigan,24000,10.08580911,3408,8.133880888
post-high-school,MGR,41,Self-Employed,19,Married,10,US,35,Female,White,Texas,30000,10.30895266,2949,7.989221409
post-high-school,LGL,35,Government Employee,19,One of Single,8140,US,16,Male,non White,Iowa,8000,8.987196821,4405,8.390495538
post-high-school,LGL,62, Private Employee,19,Divorced,5140,US,40,Female,White,Illinois,45000,10.71441777,2100,7.649692624
Bachelor's degree,LGL,32, Private Employee,21,One of Single,4110,US,30,Female,White,California,24100,10.08996712,3406,8.133293861
no diploma,LGL,39,Government Employee,15,One of Single,3601,US,25,Female,non White,Pennsylvania,8000,8.987196821,4405,8.390495538
Bachelor's degree,LGL,47,Self-Employed,21,Married,4920,US,30,Female,White,California,240000,12.3883942,123,4.812184355
Associate's degree,LGL,37, Private Employee,20,Married,5940,US,24,Female,White,West Virginia,15000,9.61580548,3962,8.284504227
high-school,MGR,38, Private Employee,16,Married,440,US,50,Male,non White,California,75000,11.22524339,1002,6.909753282
Associate's degree,MGR,72,Self-Employed,20,Married,440,non US,40,Male,White,Kansas,84700,11.34687088,842,6.735780014
no diploma,MGR,59, Private Employee,14,Married,230,US,40,Male,non White,Florida,40000,10.59663473,2353,7.763446389
high-school,MGR,70, Private Employee,17,Widowed,410,US,40,Female,White,California,43700,10.68510338,2206,7.6989362
high-school,LGL,51, Private Employee,16,Married,5600,US,40,Female,White,Pennsylvania,17000,9.740968623,3877,8.262816938
Master's degree,MGR,30, Private Employee,22,One of Single,20,US,45,Male,non White,Texas,123000,11.71993963,401,5.993961427
Master's degree,MGR,30, Private Employee,22,One of Single,51,US,40,Male,White,Texas,115000,11.65268741,474,6.161207322
post-high-school,ENG,69, Private Employee,19,Divorced,1410,US,40,Male,White,California,81200,11.30467053,875,6.774223886
Bachelor's degree,ENG,61, Private Employee,21,Married,1320,US,40,Male,White,Washington,109000,11.59910316,531,6.274762021
high-school,LGL,72,Self-Employed,16,Divorced,4850,US,15,Male,non White,Connecticut,103900,11.55118418,568,6.342121419
high-school,LGL,29, Private Employee,17,Married,5240,US,40,Male,non White,Texas,16800,9.729134165,3900,8.268731832
high-school,MGR,56,Self-Employed,16,Married,205,US,60,Male,White,Kansas,294000,12.59133505,90,4.49980967
no diploma,LGL,40,Government Employee,14,One of Single,3421,US,40,Female,non White,Georgia,14000,9.546812609,4064,8.309922989
post-high-school,LGL,32, Private Employee,19,One of Single,3603,US,36,Female,White,Michigan,24000,10.08580911,3408,8.133880888
Bachelor's degree,LGL,22, Private Employee,21,One of Single,4720,US,16,Female,White,Massachusetts,11000,9.305650552,4236,8.351374707
high-school,LGL,60, Private Employee,16,Married,9130,US,50,Female,White,Illinois,35000,10.46310334,2685,7.895436007
high-school,LGL,47,Self-Employed,16,Married,6410,non US,30,Male,White,Colorado,15000,9.61580548,3962,8.284504227
post-high-school,LGL,43,Self-Employed,19,One of Single,4850,US,80,Male,White,Arizona,62600,11.04452056,1351,7.208600338
high-school,LGL,54,Government Employee,16,Married,2545,US,40,Female,White,Arkansas,16300,9.698920387,3913,8.272059622
Bachelor's degree,LGL,62, Private Employee,21,One of Single,3255,US,32,Female,White,Pennsylvania,43010,10.66918793,2220,7.705262475
high-school,LGL,33,Government Employee,16,Married,9121,US,20,Female,White,Louisiana,18000,9.798127037,3810,8.245384468
Bachelor's degree,CMM,43, Private Employee,21,Married,1021,non US,40,Male,non White,Michigan,105000,11.56171563,548,6.306275287
high-school,LGL,17, Private Employee,16,One of Single,8300,US,20,Female,White,Arizona,10000,9.210340372,4271,8.359603271
post-high-school,LGL,38, Private Employee,19,One of Single,6600,US,30,Male,White,Illinois,25000,10.1266311,3296,8.100464891
high-school,LGL,50,Self-Employed,17,Married,6230,US,55,Male,White,North Carolina,45000,10.71441777,2100,7.649692624
post-high-school,LGL,60, Private Employee,18,Married,9620,US,25,Male,non White,Texas,18000,9.798127037,3810,8.245384468
high-school,LGL,27, Private Employee,17,Divorced,9130,US,55,Male,White,North Carolina,77000,11.2515607,979,6.886531643
high-school,FIN,57, Private Employee,17,Divorced,800,non US,40,Female,non White,Ohio,70010,11.15639337,1134,7.033506484
Associate's degree,BUS,36,Government Employee,20,Married,630,US,55,Male,White,Colorado,48000,10.77895629,1970,7.585788822
high-school,LGL,50, Private Employee,16,Married,9142,US,50,Male,White,Wisconsin,28000,10.23995979,3129,8.048468744
Bachelor's degree,LGL,26,Government Employee,21,Married,2320,non US,40,Female,non White,Texas,53000,10.87804719,1697,7.436617265
Bachelor's degree,LGL,53,Government Employee,21,One of Single,3330,US,50,Male,non White,Maryland,200000,12.20607265,163,5.093750201
post-high-school,LGL,64, Private Employee,19,Married,8740,US,40,Male,White,Georgia,40000,10.59663473,2353,7.763446389
post-high-school,LGL,69, Private Employee,18,Married,3255,US,40,Male,White,Florida,95000,11.46163217,693,6.541029999
Bachelor's degree,LGL,71, Private Employee,21,Married,2300,US,20,Female,White,Maryland,28300,10.25061708,3124,8.046869511
high-school,LGL,39, Private Employee,17,Married,3930,US,40,Male,White,North Carolina,65000,11.08214255,1263,7.141245122
no diploma,LGL,17, Private Employee,14,One of Single,4251,US,35,Female,White,Maine,3000,8.006367568,4724,8.460411177
post-high-school,LGL,19, Private Employee,19,One of Single,4720,US,6,Male,White,Kentucky,6000,8.699514748,4511,8.414274137
no diploma,LGL,75,Government Employee,11,Married,9122,US,15,Male,non White,Virginia,37000,10.51867319,2596,7.861727078
Bachelor's degree,LGL,63, Private Employee,21,Married,3255,US,36,Female,White,Florida,40000,10.59663473,2353,7.763446389
post-high-school,LGL,51, Private Employee,19,Married,5400,US,34,Female,White,Wisconsin,33000,10.40426284,2825,7.946263644
Associate's degree,ENG,55, Private Employee,20,Married,1360,US,70,Male,White,Louisiana,120100,11.69608001,414,6.025865974
post-high-school,LGL,34, Private Employee,19,Married,3520,US,18,Male,White,California,18000,9.798127037,3810,8.245384468
Professional degree,LGL,53, Private Employee,23,Married,3090,non US,45,Female,non White,North Dakota,412000,12.92877863,60,4.094344562
no diploma,LGL,21, Private Employee,14,One of Single,9640,US,40,Female,White,Illinois,18000,9.798127037,3810,8.245384468
no diploma,LGL,45, Private Employee,7,One of Single,8140,non US,48,Male,non White,Illinois,50000,10.81977828,1785,7.487173694
post-high-school,LGL,31, Private Employee,19,One of Single,4760,US,40,Male,White,California,565000,13.24458101,10,2.302585093
no diploma,LGL,26, Private Employee,14,One of Single,6260,US,30,Male,non White,Arkansas,15000,9.61580548,3962,8.284504227
post-high-school,LGL,21, Private Employee,19,One of Single,3602,US,25,Female,White,Maryland,15000,9.61580548,3962,8.284504227
post-high-school,LGL,21,Government Employee,19,One of Single,9830,US,40,Male,White,Colorado,13100,9.480367509,4105,8.319961022
Bachelor's degree,LGL,25, Private Employee,21,Married,5710,US,40,Female,White,Pennsylvania,48000,10.77895629,1970,7.585788822
Master's degree,LGL,40, Private Employee,22,Married,2350,US,30,Female,White,Kentucky,24500,10.1064284,3397,8.130647968
high-school,LGL,34,Government Employee,16,Married,4020,US,8,Female,White,Tennesse,500,6.214608098,4962,8.509564164
high-school,LGL,45, Private Employee,17,Married,9240,non US,60,Male,non White,California,80000,11.28978191,893,6.794586581
post-high-school,LGL,59,Government Employee,19,Married,5240,US,40,Female,White,Georgia,35000,10.46310334,2685,7.895436007
Associate's degree,LGL,36, Private Employee,20,Married,3310,US,35,Female,White,Minnesota,49000,10.79957558,1937,7.568895663
post-high-school,LGL,39, Private Employee,18,Married,4720,US,25,Female,White,California,8000,8.987196821,4405,8.390495538
post-high-school,ENG,31, Private Employee,19,Divorced,1530,US,40,Male,White,Texas,75000,11.22524339,1002,6.909753282
high-school,LGL,34,Government Employee,16,Divorced,4220,US,30,Male,non White,Tennesse,500,6.214608098,4962,8.509564164
high-school,LGL,30, Private Employee,16,Divorced,8140,US,60,Male,White,Utah,28000,10.23995979,3129,8.048468744
no diploma,LGL,31, Private Employee,14,Divorced,9645,US,40,Male,non White,California,18000,9.798127037,3810,8.245384468
post-high-school,LGL,54, Private Employee,18,Married,4220,non US,40,Female,non White,New York,19300,9.867860375,3756,8.23110984
post-high-school,MGR,51, Private Employee,18,Married,440,US,55,Male,White,Texas,60000,11.00209984,1409,7.250635512
post-high-school,CMS,23, Private Employee,19,One of Single,2004,non US,35,Female,non White,New York,40000,10.59663473,2353,7.763446389
Associate's degree,LGL,26, Private Employee,20,One of Single,4110,US,25,Female,White,California,5000,8.517193191,4584,8.430327258
post-high-school,LGL,53, Private Employee,18,Married,9121,US,40,Female,White,Oklahoma,50000,10.81977828,1785,7.487173694
post-high-school,LGL,23, Private Employee,18,One of Single,3421,non US,30,Female,White,Florida,7500,8.9226583,4456,8.402006782
post-high-school,LGL,31, Private Employee,19,Divorced,4110,US,33,Female,White,Texas,29000,10.27505111,3086,8.034631033
Associate's degree,LGL,49, Private Employee,20,Married,5120,non US,24,Female,White,Rhode Island,7300,8.895629627,4462,8.403352375
high-school,LGL,85, Private Employee,16,Widowed,3602,US,12,Female,White,Missouri,26500,10.18490001,3230,8.080237416
post-high-school,LGL,37, Private Employee,19,Married,5310,non US,40,Female,non White,Arizona,25000,10.1266311,3296,8.100464891
Associate's degree,LGL,31, Private Employee,20,Married,8740,US,40,Male,White,Ohio,30000,10.30895266,2949,7.989221409
Master's degree,BUS,63,Self-Employed,22,Married,710,US,40,Male,White,California,565000,13.24458101,10,2.302585093
high-school,LGL,43, Private Employee,16,Married,5420,US,40,Female,White,Arkansas,52000,10.858999,1718,7.448916103
post-high-school,LGL,30, Private Employee,19,Divorced,3645,US,85,Female,White,Tennesse,26000,10.16585182,3241,8.083637203
Master's degree,LGL,41, Private Employee,22,Married,5110,US,45,Female,White,Texas,24000,10.08580911,3408,8.133880888
Bachelor's degree,LGL,59,Government Employee,21,Widowed,2310,US,39,Female,White,Missouri,22000,9.998797732,3538,8.171316875
Associate's degree,LGL,34,Government Employee,20,Married,3710,US,40,Male,White,Missouri,62000,11.03488966,1356,7.212294469
Bachelor's degree,LGL,66,Self-Employed,21,Divorced,6115,US,50,Male,White,New York,27600,10.22557105,3178,8.064007347
post-high-school,LGL,66,Government Employee,19,Widowed,9121,US,20,Male,White,Texas,66800,11.10945836,1240,7.122866659
Master's degree,CMS,67,Government Employee,22,One of Single,2005,US,32,Female,White,Colorado,111500,11.62177987,496,6.206575927
Bachelor's degree,LGL,57, Private Employee,21,Married,5165,US,40,Male,White,New York,200000,12.20607265,163,5.093750201
Bachelor's degree,SCI,52, Private Employee,21,One of Single,1720,US,50,Male,White,Wisconsin,210000,12.25486281,152,5.023880521
Master's degree,LGL,56,Government Employee,22,Married,2310,US,60,Female,White,Washington,60000,11.00209984,1409,7.250635512
post-high-school,LGL,19, Private Employee,19,One of Single,3960,US,20,Male,non White,Maryland,5000,8.517193191,4584,8.430327258
Bachelor's degree,LGL,58, Private Employee,21,Married,9645,non US,40,Male,non White,Virginia,22500,10.02127059,3528,8.168486417
Bachelor's degree,BUS,63, Private Employee,21,Married,705,US,60,Male,White,Missouri,119000,11.68687877,458,6.126869184
Bachelor's degree,MGR,34, Private Employee,21,Married,51,US,40,Female,White,Georgia,120000,11.69524702,415,6.02827852
post-high-school,MGR,33, Private Employee,18,Married,20,US,50,Female,White,Virginia,45000,10.71441777,2100,7.649692624
post-high-school,LGL,54, Private Employee,19,Married,4220,non US,40,Male,non White,California,18000,9.798127037,3810,8.245384468
high-school,LGL,28, Private Employee,17,One of Single,9645,US,25,Male,White,Pennsylvania,5830,8.670772279,4561,8.425297177
high-school,LGL,37, Private Employee,16,Married,9645,non US,35,Female,White,Oregon,21900,9.994241916,3574,8.181440696
Bachelor's degree,CMM,40, Private Employee,21,Married,1050,US,47,Male,White,Kentucky,110000,11.60823564,499,6.212606096
post-high-school,BUS,55,Government Employee,18,Married,565,US,38,Female,White,Tennesse,37000,10.51867319,2596,7.861727078
Bachelor's degree,LGL,29,Government Employee,21,Married,2300,US,40,Female,White,West Virginia,35000,10.46310334,2685,7.895436007
Associate's degree,LGL,25, Private Employee,20,One of Single,9350,US,50,Male,non White,Illinois,28000,10.23995979,3129,8.048468744
high-school,LGL,38, Private Employee,16,Married,4110,US,40,Male,non White,Texas,18000,9.798127037,3810,8.245384468
no diploma,MGR,72,Self-Employed,11,Married,205,US,30,Male,White,North Dakota,20200,9.913437883,3642,8.20028826
high-school,LGL,57, Private Employee,16,Married,4510,US,40,Female,White,Connecticut,36000,10.49127422,2625,7.872836175
Master's degree,CMS,60,Government Employee,22,Married,2002,US,40,Female,White,North Dakota,54000,10.89673933,1679,7.425953657
Master's degree,LGL,29,Government Employee,22,One of Single,2205,US,40,Female,White,Maryland,75000,11.22524339,1002,6.909753282
post-high-school,LGL,46, Private Employee,19,Married,4850,US,40,Male,White,California,52000,10.858999,1718,7.448916103
Associate's degree,LGL,61,Government Employee,20,Married,5740,US,40,Female,White,Florida,42000,10.6454249,2257,7.721791777
post-high-school,LGL,20, Private Employee,19,One of Single,4720,US,28,Male,White,Texas,7300,8.895629627,4462,8.403352375
high-school,LGL,41, Private Employee,17,Married,6200,US,50,Male,White,Tennesse,14000,9.546812609,4064,8.309922989
high-school,LGL,26, Private Employee,16,One of Single,9650,non US,40,Male,non White,Texas,8000,8.987196821,4405,8.390495538
post-high-school,LGL,26, Private Employee,18,Married,9005,US,50,Male,White,Texas,42000,10.6454249,2257,7.721791777
no diploma,MGR,47, Private Employee,14,Divorced,410,non US,40,Male,White,Washington,63400,11.05721914,1340,7.200424893
high-school,LGL,54, Private Employee,16,Married,9130,US,40,Male,non White,Colorado,35000,10.46310334,2685,7.895436007
high-school,LGL,19, Private Employee,16,One of Single,4055,US,40,Male,non White,Louisiana,21000,9.952277717,3599,8.188411308
post-high-school,LGL,29, Private Employee,19,Married,4240,US,40,Male,White,Georgia,26000,10.16585182,3241,8.083637203
Bachelor's degree,LGL,64,Government Employee,21,Married,2310,US,16,Female,White,Texas,41200,10.62619354,2309,7.744569809
high-school,LGL,52, Private Employee,16,Married,4700,US,84,Male,non White,New York,24000,10.08580911,3408,8.133880888
Associate's degree,LGL,32, Private Employee,20,Married,4010,US,37,Female,White,California,30000,10.30895266,2949,7.989221409
Associate's degree,LGL,39, Private Employee,20,One of Single,4700,US,40,Female,non White,Georgia,35000,10.46310334,2685,7.895436007
Bachelor's degree,MGR,57, Private Employee,21,Married,230,US,40,Female,White,South Dakota,33000,10.40426284,2825,7.946263644
Bachelor's degree,ENG,57, Private Employee,21,One of Single,1410,US,50,Male,White,Massachusetts,186700,12.13725833,189,5.241747015
Master's degree,ENG,25, Private Employee,22,One of Single,1460,non US,15,Male,non White,North Carolina,1000,6.907755279,4910,8.499029221
Bachelor's degree,CMS,53, Private Employee,21,Married,2025,US,40,Female,White,Missouri,40330,10.60485089,2346,7.760467029
post-high-school,LGL,55, Private Employee,18,Divorced,8140,US,48,Female,White,Indiana,40000,10.59663473,2353,7.763446389
post-high-school,LGL,27,Self-Employed,18,One of Single,4522,US,40,Female,White,California,11500,9.350102314,4220,8.347590407
Bachelor's degree,FIN,73,Self-Employed,21,Divorced,800,US,12,Female,White,Florida,36000,10.49127422,2625,7.872836175
post-high-school,LGL,57,Government Employee,18,Separated,5400,US,18,Female,non White,North Carolina,5000,8.517193191,4584,8.430327258
post-high-school,LGL,39,Government Employee,19,Widowed,3870,non US,40,Male,non White,Pennsylvania,45000,10.71441777,2100,7.649692624
high-school,LGL,44, Private Employee,16,Married,7220,US,40,Male,White,Michigan,72000,11.1844214,1092,6.995766156
high-school,LGL,49,Self-Employed,16,Married,9130,US,70,Male,White,Wisconsin,326000,12.69465266,79,4.369447852
Master's degree,BUS,40, Private Employee,22,Married,705,US,40,Female,White,Maryland,57000,10.95080655,1564,7.355001921
Bachelor's degree,LGL,26, Private Employee,21,One of Single,4850,US,40,Male,White,Michigan,42000,10.6454249,2257,7.721791777
no diploma,LGL,49, Private Employee,9,Married,4020,non US,35,Female,White,California,20000,9.903487553,3651,8.202756382
Bachelor's degree,LGL,53, Private Employee,21,Married,3602,non US,41,Male,non White,Maryland,100000,11.51292546,592,6.383506635
Associate's degree,LGL,45, Private Employee,20,One of Single,3220,US,24,Female,White,Florida,94000,11.45105006,711,6.56667243
Bachelor's degree,FIN,24, Private Employee,21,One of Single,845,US,55,Male,White,Georgia,61500,11.02679245,1380,7.229838778
high-school,LGL,40, Private Employee,16,Married,4510,US,40,Female,White,Texas,25000,10.1266311,3296,8.100464891
no diploma,LGL,18,Government Employee,14,One of Single,9620,US,40,Male,White,Ohio,5500,8.612503371,4567,8.426611813
Bachelor's degree,LGL,46, Private Employee,21,Married,7100,US,40,Male,White,Kansas,35000,10.46310334,2685,7.895436007
Bachelor's degree,CMM,48, Private Employee,21,Married,1021,US,40,Male,non White,California,200000,12.20607265,163,5.093750201
high-school,LGL,61, Private Employee,16,Married,4720,US,40,Male,White,Texas,51000,10.83958091,1766,7.476472381
Doctorate degree,SCI,68,Self-Employed,24,One of Single,1825,US,30,Female,White,New York,60000,11.00209984,1409,7.250635512
high-school,LGL,28, Private Employee,16,One of Single,3421,US,40,Male,non White,Nevada,18000,9.798127037,3810,8.245384468
post-high-school,LGL,69, Private Employee,19,Divorced,4400,US,30,Male,White,Kentucky,81200,11.30467053,875,6.774223886
Associate's degree,LGL,41,Government Employee,20,Married,3255,US,36,Female,White,Iowa,80000,11.28978191,893,6.794586581
high-school,LGL,53,Self-Employed,17,One of Single,6800,US,40,Male,non White,Illinois,40250,10.60286528,2349,7.761744985
post-high-school,MGR,47,Self-Employed,18,Married,220,US,40,Male,White,California,192000,12.16525065,183,5.209486153
post-high-school,LGL,71, Private Employee,19,Divorced,4850,US,4,Male,White,New Jersey,75500,11.23188794,999,6.906754779
Doctorate degree,LGL,61, Private Employee,24,Married,3090,US,20,Female,White,Ohio,180000,12.10071213,193,5.262690189
high-school,LGL,19, Private Employee,16,One of Single,5240,US,25,Male,White,Georgia,8000,8.987196821,4405,8.390495538
high-school,LGL,55, Private Employee,17,Divorced,3603,US,32,Female,White,Ohio,38000,10.54534144,2526,7.834392303
post-high-school,BUS,27, Private Employee,19,One of Single,750,US,65,Male,White,New York,65000,11.08214255,1263,7.141245122
Bachelor's degree,ENG,56, Private Employee,21,Married,1306,US,16,Female,White,Georgia,70000,11.15625052,1135,7.03438793
high-school,LGL,40, Private Employee,16,Married,7700,non US,40,Female,White,Texas,55000,10.91508846,1632,7.397561536
Bachelor's degree,LGL,24, Private Employee,21,Married,2310,US,40,Female,White,Utah,38000,10.54534144,2526,7.834392303
high-school,LGL,52, Private Employee,16,Married,5730,US,40,Female,White,New York,14000,9.546812609,4064,8.309922989
high-school,MGR,53, Private Employee,16,Married,350,non US,40,Female,White,Texas,46000,10.73639668,2057,7.62900389
no diploma,LGL,62,Self-Employed,9,Married,4110,non US,40,Female,non White,Michigan,29500,10.29214554,3075,8.03106018
no diploma,LGL,21,Self-Employed,14,One of Single,6260,US,20,Male,White,California,1300,7.170119543,4898,8.496582238
high-school,LGL,58, Private Employee,17,Married,3930,US,40,Male,White,Puerto Rico,13900,9.539644119,4091,8.316544718
high-school,LGL,61, Private Employee,16,Married,9645,US,40,Female,White,Pennsylvania,35000,10.46310334,2685,7.895436007
high-school,LGL,60, Private Employee,16,Married,9645,US,20,Female,White,Washington,7400,8.909235279,4461,8.403128235
post-high-school,LGL,37,Government Employee,18,Married,6730,US,40,Male,White,Ohio,40000,10.59663473,2353,7.763446389
post-high-school,LGL,24, Private Employee,19,One of Single,4720,US,35,Male,White,Georgia,7900,8.974618038,4444,8.399310151
no diploma,LGL,59, Private Employee,14,Married,4020,US,30,Female,White,Ohio,9800,9.190137665,4342,8.37609035
post-high-school,LGL,51, Private Employee,19,Married,4810,US,40,Female,White,Minnesota,39500,10.58405595,2487,7.818832444
no diploma,LGL,51,Government Employee,11,Divorced,4160,US,2,Female,non White,Washington,12500,9.433483923,4136,8.327484416
high-school,LGL,50,Government Employee,16,Divorced,5740,US,45,Female,White,New York,50000,10.81977828,1785,7.487173694
no diploma,CMM,41, Private Employee,12,Separated,1108,non US,40,Female,non White,Nevada,172000,12.05524976,219,5.38907173
Master's degree,LGL,47, Private Employee,22,One of Single,2310,US,50,Female,White,Ohio,95000,11.46163217,693,6.541029999
high-school,MGR,32, Private Employee,16,Married,220,non US,40,Female,White,Florida,50000,10.81977828,1785,7.487173694
post-high-school,LGL,23, Private Employee,18,One of Single,4055,US,35,Male,non White,North Carolina,7800,8.961879013,4446,8.399760095
Associate's degree,LGL,61, Private Employee,20,One of Single,8760,US,40,Female,White,New York,37000,10.51867319,2596,7.861727078
Associate's degree,LGL,54,Government Employee,20,Married,9121,US,20,Male,White,California,96000,11.47210347,683,6.52649486
post-high-school,LGL,64, Private Employee,19,Divorced,5740,non US,40,Female,White,Michigan,427000,12.96453929,48,3.871201011
no diploma,LGL,30, Private Employee,15,Married,7700,US,50,Male,White,Florida,40000,10.59663473,2353,7.763446389
Bachelor's degree,LGL,47,Government Employee,21,Married,3870,US,55,Male,White,Massachusetts,80000,11.28978191,893,6.794586581
Bachelor's degree,LGL,51,Self-Employed,21,Married,2722,US,40,Female,White,Texas,40000,10.59663473,2353,7.763446389
high-school,LGL,39, Private Employee,16,Married,3602,US,55,Male,White,Oregon,28000,10.23995979,3129,8.048468744
high-school,LGL,57, Private Employee,17,Married,4700,US,25,Female,White,Maryland,10400,9.249561085,4256,8.356085031
high-school,LGL,63, Private Employee,16,Widowed,3601,non US,22,Female,White,Texas,10200,9.230142999,4268,8.358900612
Bachelor's degree,SCI,31, Private Employee,21,Married,1760,US,32,Female,White,California,59000,10.98529272,1517,7.324489979
